Serial_No,Name,Aggregate,GRE,IELTS,TOEFL,University,CGPA,Gender,Poissan,Fees
299,Eduardo,190,274,8,61,Liaoning Normal University,5.52,M,292,"$51,178.86 "
300,Tabor,44,291,4.4,81,University of Islamic Studies,5.23,M,277,"$34,616.98 "
301,Sheree,55,275,3.5,101,Valley Forge Christian College,8.16,F,294,"$55,769.10 "
302,Leah,369,292,5.4,93,Green University of Bangladesh,5.33,F,310,"$27,574.60 "
303,Thibaud,236,338,4.9,97,Philosophisch-Theologische Hochschule Sankt Georgen,7.91,M,280,"$58,596.54 "
304,Errol,269,332,8.1,102,University of Twente,9.23,M,294,"$47,761.88 "
305,Benyamin,287,277,3.5,91,St. Augustine's College North Carolina,5.55,M,293,"$26,596.98 "
306,Ronny,38,333,3.9,117,Hahnamann Honoeopathic Medical College,4.42,M,290,"$69,652.05 "
307,Haywood,632,316,4.4,95,Semnan University of Medical Sciences,5.31,M,313,"$33,115.36 "
308,Celine,26,332,7.4,70,University of Baguio,6.89,F,291,"$57,772.00 "
309,Korey,164,329,6.3,90,Universidad Catolica de Azogues,8.23,M,305,"$61,652.47 "
310,Dolph,49,322,4.9,108,National Chiao Tung University,6.23,M,302,"$32,236.22 "
311,Hayes,673,324,6.7,102,Phillips-Universität Marburg,6.1,M,327,"$48,014.36 "
312,Luci,472,299,7.3,95,University of Regina,9.19,F,314,"$67,115.36 "
313,Denny,542,271,8.5,90,Institut National des Postes et Télécommunications,6.05,M,303,"$64,016.41 "
314,Mallory,129,334,8.1,79,Université Gaston Berger Saint-Louis,4.71,M,291,"$60,720.01 "
315,Janeczka,556,327,6.5,107,Ecole Nationale Supérieure Electricité et Mécanique,5.86,F,273,"$65,766.98 "
316,Jorry,506,272,4.5,98,Universidad Capitain General Gerardo Barrios,4.28,F,318,"$27,914.46 "
317,Willis,201,260,3.3,90,University of Arkansas at Fayetteville,8.44,M,315,"$68,139.28 "
318,Harli,194,291,7.1,105,Institut Supérieur de Management et de Technologie (MATCI),4.54,F,327,"$53,248.39 "
319,Candra,693,296,4.8,117,Kobe University,6.86,F,289,"$59,779.77 "
320,Shannan,182,309,4.2,60,Nagoya University,7.49,M,314,"$64,549.48 "
321,Jobye,510,303,4.2,91,Escuela Militar de Ingeniería,9.31,F,316,"$26,906.41 "
322,Jere,515,280,9,117,Baghdad College of Economic Sciences University,6.01,M,290,"$47,640.48 "
323,Alfy,288,271,5.5,116,KASB Institute of Technology,6.8,M,276,"$52,608.90 "
324,Carney,12,314,7.7,112,Yokohama City University,5.7,M,264,"$26,944.38 "
325,Bianka,516,327,7.8,98,Tampere Polytechnic,4.13,F,306,"$52,255.10 "
326,Carlin,95,271,4.1,71,"Heythrop College, University of London",8.07,M,309,"$62,671.09 "
327,Al,232,298,5.9,71,Budapest Buddhist University,8.29,M,295,"$52,300.14 "
328,Stormi,52,275,7.8,104,South China University of Technology,6.34,F,311,"$29,014.83 "
329,Sim,322,309,6,104,Higher School of University and Advanced Studies Pisa,7.21,M,265,"$49,500.06 "
330,Kim,162,335,6.9,92,Universidad de Viña del Mar,7.3,M,323,"$45,995.14 "
331,Barrie,118,264,6.7,82,Waterford Institute Of Technology,4.77,M,305,"$52,720.53 "
332,Denny,564,313,7.4,91,San Diego State University,5,M,256,"$32,712.39 "
333,Terrie,495,307,8.8,77,Rollins College,6.31,F,280,"$68,030.02 "
334,Billie,51,301,7.5,89,Universidad de La Guajira,6.02,M,317,"$35,661.05 "
335,Siegfried,217,270,4.3,94,University of Bolton,4.97,M,303,"$36,215.32 "
336,Sherwynd,124,333,7.1,62,Flinders University of South Australia,8.12,M,300,"$29,915.06 "
337,Ali,482,307,5.7,84,Syrian Virtual University,6.42,M,304,"$45,409.14 "
338,Trey,466,266,8.5,83,Yaroslavl State Theatre Institute,6.74,M,286,"$69,279.82 "
339,Hanna,78,276,7.6,91,Haramaya University,4.78,F,288,"$64,842.73 "
340,Kessia,81,310,5.4,86,Université d'Evry Val d'Essonne,9.54,F,276,"$66,074.26 "
341,Maxi,273,277,4.6,94,Karaganda State Buketov University,7.64,F,298,"$46,480.02 "
342,Roldan,344,304,7.6,65,Ross University Caribbean School of Veterinary Medicine,8.62,M,308,"$48,034.84 "
343,Rickard,508,304,7.3,111,Université de N'Djamena,5.46,M,343,"$31,703.15 "
344,Valerie,427,332,3.5,100,Lipscomb University,4.56,F,304,"$57,881.44 "
345,Bernelle,287,302,5.9,70,Avondale College,4.4,F,293,"$49,245.80 "
346,Giulia,688,309,6.8,87,China Agricultural University,5.92,F,296,"$47,994.81 "
347,Anders,217,291,8.5,110,Southern Nazarene University,6.31,M,317,"$37,606.88 "
348,Rennie,450,281,8.7,115,Yamanashi Gakuin University,7.87,F,308,"$32,590.45 "
349,Sven,635,273,4,69,University Institute of Naval Studies,5.18,M,290,"$29,581.02 "
350,Becki,417,273,8.2,62,Saad College of Nursing and Allied Health Sciences,9.36,F,316,"$35,339.86 "
351,Duffy,648,300,8.2,95,New England School of Law,9.24,M,279,"$62,382.92 "
352,Lena,363,301,3.6,105,Universitas Terbuka Indonesia,5.85,F,290,"$25,019.80 "
353,Etan,43,333,6.7,104,Fachhochschule Wiener Neustadt,5.42,M,299,"$55,035.64 "
354,Aguste,691,333,5.1,93,B.P.Koirala Institute of Health Sciences,9.7,M,263,"$56,356.51 "
355,Nicki,629,320,4.3,110,Brandeis University,9.29,F,279,"$58,694.52 "
356,Bron,418,297,5.1,67,Universidade do Estado de Santa Catarina,4.44,M,271,"$52,948.24 "
357,Lauretta,56,268,8,104,Dongshin University,7.8,F,295,"$41,945.84 "
358,Mehetabel,664,274,3.6,73,Osaka Dental University,9.87,F,300,"$58,470.22 "
359,Aurthur,178,333,5.8,93,Kazakh British Technical University,7.5,M,321,"$59,780.35 "
360,Desirae,361,280,7.5,73,Universidad Cuauhtémoc,7.12,F,317,"$60,616.68 "
361,Heindrick,469,292,8.5,112,"University of Moncton, Edmundston",6.43,M,269,"$28,781.19 "
362,Samuel,337,299,5.7,62,Southern California College of Optometry,8.8,M,295,"$25,010.31 "
363,Minnie,341,271,8.5,70,Babol Noshirvani University of Technology,8.23,F,278,"$40,226.88 "
364,Colan,650,338,7,75,Bharathiar University,5.88,M,311,"$27,789.27 "
365,Pammie,74,270,5.7,120,Ranchi University,4.14,F,332,"$45,602.69 "
366,Leon,698,284,7.8,113,International Kazakh-Turkish University,7.26,M,293,"$55,981.86 "
367,Hal,350,283,3.4,89,Shanghai Dainji University,4.58,M,303,"$33,405.35 "
368,Lonee,517,290,8.3,73,Institut Supérieure d'Electronique de Paris,8.23,F,251,"$52,487.81 "
369,Jean,336,315,8.8,72,"European University, Athens Campus",9.09,M,304,"$60,547.66 "
370,Stanislas,405,307,4,77,Wawasan Open University,7.09,M,323,"$67,879.08 "
371,Mort,399,283,8.3,64,Al-Bukhari International University,9.82,M,300,"$34,760.17 "
372,Zacherie,643,334,8.4,102,Saga University,8.54,M,297,"$40,841.76 "
373,Dominic,78,340,3.3,70,Università Pontificia Salesiana,6.57,M,322,"$50,848.64 "
374,Tracey,431,314,3.2,86,Freie Universität Berlin,7.96,M,277,"$49,743.73 "
375,Miquela,119,330,3.2,106,China Medical College,8.84,F,313,"$25,004.22 "
376,Selestina,528,309,5.4,105,Law University of Bratislava,8.53,F,313,"$45,656.76 "
377,Vanya,469,295,4.5,70,Hogeschool Antwerpen,9.18,F,291,"$26,391.89 "
378,Karlene,296,338,7.6,110,Bangladesh Agricultural University,4.52,F,290,"$68,428.60 "
379,Yul,127,323,4.6,100,Pacific University,4.11,M,308,"$69,513.26 "
380,Carson,652,334,8.4,78,Universidad Abierta Interamericana,8.58,M,308,"$48,754.41 "
381,Debor,435,287,4,105,Najaf Abad University of Applied Science and Technology,7.12,F,310,"$35,195.59 "
382,Marianna,546,333,8.8,66,Higher Institute of Agriculture and Animal Husbandry,5.36,F,299,"$59,076.46 "
383,Koren,106,282,4.3,82,Universidad Centro Occidental Lisandro Alvarado,4.36,F,321,"$25,417.42 "
384,Anni,581,289,5.3,98,Prague College,6.41,F,291,"$54,023.96 "
385,Roderick,346,260,3.9,107,Daido Institute of Technology,9.24,M,294,"$40,281.51 "
386,Merrielle,680,338,6.3,91,University of Veterinary & Animal Science,8.67,F,302,"$55,315.99 "
387,Madeleine,121,339,5,62,Tampere Polytechnic,5.46,F,320,"$29,005.94 "
388,Freedman,253,317,8,97,Pikeville College,7.72,M,318,"$33,552.88 "
389,Arman,303,309,7.9,62,Liepaja Pedagogical Higher School,4.58,M,321,"$61,295.51 "
390,Miltie,305,313,8.2,60,Universidade do Sagrado Coração,4.64,M,300,"$58,589.86 "
391,Hart,681,299,3,114,St Clements University - Higher Education School,8.55,M,283,"$62,318.28 "
392,Sholom,533,318,6.2,80,University of Wroclaw,5.46,M,328,"$47,961.68 "
393,Georgeanne,668,338,5.7,86,Jinan University,4.64,F,305,"$40,655.72 "
394,Loutitia,389,317,3.5,75,"Webster University, Vienna",4.1,F,252,"$39,774.94 "
395,Mercedes,556,309,5.4,78,Ecole Supérieure de Commerce et Management,4.09,F,276,"$69,810.49 "
396,Gardie,643,328,5.9,113,Beijing Language and Culture University,6.09,M,304,"$45,652.28 "
397,Kathi,652,286,4.8,110,Webb Institute,4.75,F,283,"$30,091.48 "
398,Ancell,165,301,6.7,72,Khulna University,4.46,M,309,"$53,883.26 "
399,Earvin,145,286,4.9,107,University of Connecticut at Stamford,5.65,M,284,"$66,680.51 "
400,Prinz,498,268,3.6,106,Kean University of New Jersey,7.82,M,326,"$62,140.05 "
401,Pearla,367,299,8.6,71,Baldwin-Wallace College,7.38,F,300,"$58,734.30 "
402,Viola,334,318,7.5,60,Theologische Fakultät Paderborn,7.52,F,294,"$55,808.34 "
403,Richmound,168,312,6.5,69,Botswana College of Agriculture,9.1,M,317,"$40,791.17 "
404,Lynnet,503,326,6.2,69,Rollins College,7.56,F,282,"$37,769.44 "
405,Loise,381,269,7.5,75,Izhevsk State Technical University,5.68,F,327,"$69,827.81 "
406,Joice,672,322,7.2,64,University of Zürich,6.13,F,289,"$31,505.18 "
407,Shayne,249,271,5.4,119,Technical University of Koszalin,4.96,M,277,"$32,382.73 "
408,Sky,480,303,4.7,92,Arab Open University,4.95,M,289,"$59,470.45 "
409,Jdavie,94,312,5.1,79,Universidad Politécnica de Madrid,7.39,M,304,"$50,754.20 "
410,Tim,116,289,7.3,85,St. Petersburg State University of Architecture and Civil Engineering,8.12,M,337,"$56,986.68 "
411,Odie,431,340,6.7,105,Universidad Autónoma de Aguascalientes,8.98,M,316,"$52,174.35 "
412,Teddy,501,296,4.1,75,University of Jaffna,6.01,F,292,"$56,925.60 "
413,Anne-corinne,435,291,8.4,66,Agricultural University of Athens,5.03,F,312,"$42,089.97 "
414,Violetta,459,280,3.9,65,Universität Hohenheim,4.59,F,304,"$52,356.91 "
415,Keslie,160,296,7.4,118,Sterling College,5.06,F,299,"$48,615.85 "
416,Wald,453,318,5,82,Universität Koblenz-Landau,9.37,M,310,"$47,059.02 "
417,Tova,368,273,6.8,100,Universidad de Bologna - Representación en Buenos Aires,6.06,F,305,"$27,694.18 "
418,Elana,195,289,4.3,96,St. Anthony College of Nursing,6.95,F,280,"$32,460.36 "
419,Dianna,400,270,4.6,82,Vikrama Simhapuri University,8.29,F,289,"$32,529.86 "
420,Webb,385,260,4.3,72,University of Jos,4.83,M,302,"$47,574.58 "
421,Loralyn,30,326,7.2,93,Freie Kunst-Studienstätte Ottersberg,6.91,F,326,"$63,688.92 "
422,Dodi,411,331,6.9,91,Bila Cerkva State Agrarian University,5.4,F,294,"$61,960.41 "
423,Desdemona,417,296,7.2,64,Lahore College for Women University,4.84,F,297,"$49,922.35 "
424,Lancelot,578,295,6.3,81,Fachhochschule der Wirtschaft,4.79,M,334,"$64,905.73 "
425,Koral,268,335,4.4,92,Shanghai Maritime University,4.9,F,290,"$67,354.95 "
426,Jeremias,224,320,4.9,79,Al-baha University,9.9,M,309,"$60,355.87 "
427,Fiorenze,650,289,4.4,87,"Birkbeck College, University of London",4.16,F,294,"$58,172.25 "
428,Elli,128,307,6.2,112,University of Central Arkansas,4.94,F,297,"$37,188.90 "
429,Helen-elizabeth,570,306,6.5,65,Humboldt Universität Berlin,9.73,F,294,"$56,956.85 "
430,Harriett,308,322,6.1,86,University of Canberra,4.66,F,291,"$43,192.00 "
431,Winny,350,299,5.6,107,Le Moyne-Owen College,7.24,F,331,"$57,790.26 "
432,Nobe,178,307,6.2,63,Webster University,5.67,M,282,"$65,737.76 "
433,Wally,514,332,5.4,98,Lyon College,7.16,M,323,"$45,612.94 "
434,Bengt,266,306,8.7,118,DePauw University,4.63,M,333,"$25,543.86 "
435,Francois,382,274,8.4,72,Sung Kyun Kwan University,4.81,M,309,"$36,376.74 "
436,Thaine,98,300,8.2,100,Manonmaniam Sundaranar University,7.2,M,357,"$39,536.19 "
437,Mallorie,238,293,8.9,112,Ural State Technical University,6.21,F,305,"$48,018.99 "
438,Kassia,325,297,7.5,108,Universidad Yacambu,8.61,F,300,"$57,189.81 "
439,Issi,235,283,6,90,Universidad Empresarial,8.01,F,289,"$55,183.78 "
440,Rosie,459,283,6.1,69,Isik University,7.74,F,320,"$34,321.34 "
441,Jennette,695,316,5.6,82,Conservatoire National des Arts et Métiers,4.9,F,301,"$60,724.91 "
442,Darwin,498,304,7.9,93,Universidad de Manizales,7.94,M,299,"$42,583.97 "
443,Sarita,71,314,8.1,94,"Institute of Teachers Education, Sultan Mizan",8.45,F,302,"$65,038.83 "
444,Edvard,220,300,3.4,109,Abia State University,5.28,M,263,"$58,378.39 "
445,Hamid,598,286,6.8,68,Riyadh College of Dentistry and Pharmacy,7.26,M,286,"$47,029.06 "
446,Willard,575,306,3.6,95,Kurukshetra University,6.98,M,304,"$66,026.98 "
447,Andie,422,269,3.1,89,Universidade de Tocantins,5.74,M,323,"$47,064.67 "
448,Any,232,326,6,86,Asian University of Bangladesh,4.42,M,339,"$46,189.48 "
449,Katine,170,269,3.4,88,China Academy of Art,7.2,F,300,"$48,369.00 "
450,Hobard,540,301,4.5,91,"Shimane University, Faculty of Medicine",8.78,M,276,"$53,130.56 "
451,Myrle,240,331,5.3,106,Nippon Institute of Technology,7.52,F,307,"$41,254.85 "
452,Bill,93,293,4.5,82,Tianjin University of Technology,4.72,F,281,"$68,273.27 "
453,Gerladina,34,280,6.3,101,American University of the Caribbean,7.65,F,272,"$41,054.77 "
454,Marga,630,295,6.8,62,Universidad de San Buenaventura,4.06,F,286,"$54,269.78 "
455,Sherye,424,270,3.3,107,Cochin University of Science and Technology,6.42,F,321,"$51,150.20 "
456,Colette,217,284,6.7,96,Dallas Christian College,6.54,F,264,"$43,388.14 "
457,Ellissa,256,317,7,82,Universidad Franco-Mexicana,8.87,F,267,"$54,116.56 "
458,Sean,255,309,6.3,119,Université Paul Valéry (Montpellier III),4.16,M,262,"$60,819.19 "
459,Free,257,280,7.2,109,Universitas Negeri Gorontalo,5.19,M,301,"$53,601.47 "
460,Juliana,682,292,7.7,60,Art University,9.49,F,337,"$53,815.68 "
461,Hubie,220,329,4.4,86,International University of Kyrgyzstan,7.03,M,297,"$63,789.87 "
462,Joete,462,339,3.9,63,Ecole Nationale Supérieure de l'Aéronautique et de l'Espace,7.48,F,322,"$27,930.62 "
463,Parnell,643,265,7.1,88,"Universidad Tecnológica del Choco ""Diego Luis Cordoba""",9.1,M,299,"$44,194.54 "
464,Shepperd,193,324,3.4,109,Masinde Muliro University of Science and Technology,8.44,M,307,"$69,882.85 "
465,Drona,272,266,6.1,107,Gubkin Russian State University of Oil and Gas,4.13,F,307,"$32,790.05 "
466,Josee,483,331,4.9,88,Williams College,9.33,F,309,"$31,845.00 "
467,Alano,95,310,3.1,119,University of Texas at Dallas,5.32,M,285,"$33,498.35 "
468,Shea,221,299,3.8,81,Ege University,4.59,M,326,"$56,745.00 "
469,Jonah,200,333,3.1,100,University of Waterloo,7.74,M,267,"$54,163.31 "
470,Bald,160,324,4.8,106,Sido Kanhu Murmu University,9.89,M,315,"$63,047.21 "
471,Rees,429,269,5.7,94,International University of Travnik,5.23,M,304,"$50,483.01 "
472,Amalia,218,317,4.4,74,Assiut University,4.65,F,310,"$27,494.84 "
473,Jillana,407,310,8.9,101,Ohio University - Southern,8.12,F,293,"$41,870.91 "
474,Rozalie,698,260,8,81,Voronezh State University,6.86,F,319,"$32,839.80 "
475,Dino,593,279,3.4,71,Brno University of Technology,4.85,M,292,"$38,116.43 "
476,Antony,274,290,6.8,84,Astrakhan State University,8.13,M,289,"$26,384.27 "
477,Burl,21,320,7.3,71,"Islamic Azad University, Khorasgan",4.86,M,280,"$48,480.93 "
478,Denny,386,265,7.3,110,Perm State University,4.63,F,285,"$61,692.84 "
479,Kellyann,273,309,6.4,71,Universidad Autónoma Metropolitana,8.16,F,297,"$47,082.64 "
480,Domenico,569,268,3.4,68,Baki Business University,6.81,M,333,"$44,929.72 "
481,Roderigo,613,277,7.7,71,Escuela Agricola Panamericana Zamorano,9.72,M,341,"$33,417.26 "
482,Ermanno,621,320,6.1,73,Indira Gandhi National Open University,5.52,M,289,"$34,731.42 "
483,Sayre,341,339,8.6,80,Universität der Bundeswehr Hamburg,8.35,M,316,"$62,518.05 "
484,Odilia,532,287,5.9,94,Ecole pour les Etudes et la Recherche en Informatique et Electronique,6.07,F,292,"$61,881.06 "
485,Jaye,417,321,5.5,101,Philadelphia College of Bible,6.34,M,295,"$35,754.93 "
486,Torre,106,263,8.9,93,Tokai Gakuen University,5.11,M,315,"$29,881.74 "
487,Denney,682,282,5.9,103,Solapur University,7.34,M,296,"$52,601.76 "
488,Carol-jean,380,333,6.5,70,Espam Formation University,5.06,F,295,"$51,802.38 "
489,Barbee,617,272,6.3,71,STMIK AMIKOM Yogyakarta,6.97,F,326,"$31,865.33 "
490,Tobias,357,287,7.9,109,Technical University of Mombasa,5.67,M,293,"$69,736.58 "
491,Martino,632,290,6.9,78,Eastern Mennonite University,9.65,M,304,"$46,706.42 "
492,Ollie,583,296,7,70,Instituto Superior de Gestão - ISG,4.93,F,327,"$33,869.62 "
493,Korey,116,279,7.8,65,Al-Bukhari International University,5.5,M,331,"$58,613.25 "
494,Trefor,658,275,3.4,69,Northwest Polytechnical University Xi'an,9.46,M,292,"$61,052.63 "
495,Melony,396,338,7,76,Kure University,8,F,316,"$64,600.13 "
496,Raimund,389,307,5.1,73,Meiji College of Pharmacy,5.22,M,297,"$39,936.45 "
497,Crista,49,264,6.8,87,University of Limerick,5.43,F,307,"$67,794.22 "
498,Berni,122,295,6.8,117,Chittagong University of Engineering and Technology,8.12,F,311,"$57,202.07 "
499,Vanya,529,317,8.5,104,Sultan Idris Shah Polytechnic,5.36,M,305,"$49,843.79 "
500,Any,237,285,5.3,94,Southwestern University,7.68,M,327,"$42,506.81 "
501,Dominick,285,306,4.5,105,University for Peace,4,M,292,"$31,623.15 "
502,Myranda,594,280,4.2,87,Aichi Gakusen University,9.46,F,301,"$29,500.26 "
503,Ileane,436,308,4.1,94,Kyushu Women's University,4.79,F,348,"$59,341.02 "
504,Herman,238,292,4.2,114,American Military University,4.96,M,315,"$65,628.94 "
505,Violette,664,339,5.6,92,Our Lady of Fatima University,9.84,F,312,"$41,166.03 "
506,Nick,173,339,7.9,101,Universidad Santo Tomás,9.73,M,336,"$54,604.08 "
507,Jacquelyn,384,296,6.7,99,St. Joseph College of Nursing,5.25,F,286,"$65,492.10 "
508,Peyton,561,260,5.7,67,St. Mary's College of Maryland,4.07,M,289,"$45,529.43 "
509,Zola,238,261,5.5,113,Royal Roads University,9.27,F,291,"$68,453.71 "
510,Leonore,449,319,3.1,89,Ecole des Hautes Etudes en Gestion Informatique et Communication,6.32,F,309,"$40,291.26 "
511,Kellie,252,322,6.3,80,University of Saint La Salle,7.23,F,290,"$64,923.02 "
512,Nicolai,687,294,4,64,Tokyo University of Art and Design,7.18,M,329,"$34,530.72 "
513,Birdie,133,291,7,97,College of Education Ikere,7.43,F,300,"$69,556.62 "
514,Lucian,293,295,7.2,60,Ballsbridge University ,8.54,M,279,"$28,083.92 "
515,Torey,684,311,3.8,111,Long Island University,6.81,M,307,"$50,342.33 "
516,Leann,163,271,6.2,72,Universidad Nacional de General Sarmiento,7.58,F,311,"$43,455.73 "
517,Fairfax,374,285,3.9,60,"Rutgers, The State University of New Jersey",5.73,M,304,"$32,397.43 "
518,Charlot,588,316,3.7,70,Ohio University - Southern,9.82,F,296,"$47,305.16 "
519,Garrett,226,320,5.5,100,European Regional Educational Academy of Armenia,9.67,M,333,"$39,994.77 "
520,Brooks,159,334,5.5,65,Polytechnic Institute of Milan,5.79,F,285,"$62,158.03 "
521,Aliza,236,290,7.6,104,Universidad Nacional Experimental de la Fuerza Armada,6.74,F,307,"$60,278.82 "
522,Dillie,360,336,4.1,71,Université de Montréal,8.44,M,311,"$52,300.20 "
523,Goldie,209,261,9,64,Salem State College,8.05,F,312,"$60,150.67 "
524,Brent,189,323,3,111,Beijing New Asia University,5.23,M,261,"$36,063.18 "
525,Fiorenze,278,309,3.5,67,Dowling College,6.14,F,302,"$65,857.87 "
526,Lonnie,572,307,7,118,Karnatak University,6.88,F,314,"$28,441.86 "
527,Coralie,661,276,6.3,72,Himeji Institute of Technology,4.25,F,283,"$30,088.07 "
528,Sherilyn,86,312,3.1,116,Universidad Católica de Colombia,6.05,F,310,"$64,213.40 "
529,Vaclav,123,295,3.4,74,Gardner Webb University,4.4,M,307,"$37,319.08 "
530,Lilllie,374,336,5.3,68,Shahid Bahonar University of Kerman,7.43,F,279,"$44,965.58 "
531,Danice,71,336,4.4,69,Saskatchewan Indian Federated College,8.06,F,302,"$42,199.42 "
532,Kristian,61,312,5.9,102,Perm State Academy of Agriculture,9.16,M,311,"$46,518.16 "
533,Jeri,475,266,5.2,85,Galatasaray University,6.6,F,304,"$41,801.06 "
534,Arliene,348,299,7,87,Kochi Women's University,5.11,F,298,"$55,608.45 "
535,Norean,527,288,3.2,93,"Université du Sud, Toulon et Var",8.36,F,295,"$50,227.61 "
536,Raychel,569,335,8.1,115,Barber-Scotia College,6.17,F,320,"$55,149.26 "
537,Guss,328,279,7.7,95,University of Science and Culture,6.85,M,293,"$26,750.41 "
538,Gardener,401,293,7.5,87,Yasuda Women's University,4.72,M,288,"$64,746.96 "
539,Purcell,377,329,7.3,85,Texila American University,5.3,M,314,"$44,116.66 "
540,Powell,534,268,7.6,97,Hijiyama University,8.2,M,282,"$45,677.91 "
541,Florencia,47,308,7.2,106,Kobe International University,4.14,F,297,"$42,872.54 "
542,Haroun,566,273,4.8,92,Western Michigan University,5.98,M,273,"$60,972.08 "
543,Lewie,266,272,6.7,115,University of Central Punjab,7.88,M,295,"$46,916.53 "
544,Ray,678,324,8.3,78,Universidad Nacional de Ingenieria,8.51,F,313,"$66,528.25 "
545,Scotty,569,329,5.6,99,Ege University,6.9,M,292,"$31,520.60 "
546,Wallie,214,336,4,112,University of Management & Technology,6.05,M,272,"$52,303.15 "
547,Bordie,25,319,6.8,91,Siberian State University of Telecommunications and Informatics,6.44,M,317,"$57,458.12 "
548,Martelle,49,315,5,115,Oman College Of Management & Technology,4.38,F,316,"$45,437.90 "
549,Jessee,132,268,5,71,Tabriz Islamic Art University,8.5,M,283,"$41,091.50 "
550,Ashley,594,284,3.8,61,Tokyo Medical College,7.17,F,304,"$61,737.10 "
551,Lanni,486,262,3.9,60,Copperbelt University,6.65,F,320,"$45,111.23 "
552,Ethelbert,68,271,3.6,115,Windsor University School of Medicine,5.06,M,312,"$34,521.99 "
553,Thor,451,310,7.2,91,Wako University,7.57,M,282,"$36,293.42 "
554,Cornela,401,278,7.8,78,Cubidor University Switzerland,9.69,F,301,"$58,055.37 "
555,Kim,444,337,3.5,110,Gandhigram Rural Institute,4.76,F,313,"$54,909.11 "
556,Tamas,30,275,6.8,85,Université de Yaoundé I,4.9,M,326,"$27,065.19 "
557,Sybilla,639,277,3.8,94,Dakota Wesleyan University,5.74,F,280,"$31,155.82 "
558,Lorie,591,310,7.9,65,Seberang Perai Polytechnic,9.39,F,293,"$54,964.63 "
559,Celestine,231,299,3.3,69,Georgetown College,7.65,F,324,"$55,555.14 "
560,Gray,257,292,7.6,114,Universidad del Valle de Atemajac,5.71,M,293,"$64,800.89 "
561,Mohandis,594,274,8.7,87,National University,8.94,M,320,"$67,378.74 "
562,Duke,397,303,8.1,94,Athlone Institute of Technology,6.98,M,267,"$44,993.13 "
563,Cortney,488,319,7.8,120,Central Methodist College,9.17,F,288,"$32,453.30 "
564,Sherwynd,678,261,8.7,70,Molloy College,7.29,M,325,"$36,438.39 "
565,Stanly,67,276,8.1,114,Université d'Antsiranana,7.88,M,273,"$28,944.00 "
566,Russ,513,327,7.9,95,American University in Bulgaria,9.99,M,274,"$35,265.03 "
567,Rey,564,336,8.1,115,"University of Perpetual Help, System Dalta",7.42,F,312,"$55,934.41 "
568,Douglass,661,301,6.5,96,Southeast University,5.72,M,305,"$33,864.87 "
569,Grover,237,306,3.4,89,"University of Virginia, College at Wise",4.14,M,307,"$57,628.14 "
570,Caterina,76,297,5.7,90,South Carelian Polytechnic,7.85,F,307,"$54,942.36 "
571,Dionne,39,335,5.7,84,University of Crete,5.28,F,325,"$25,122.78 "
572,Elianora,268,320,6.8,116,Nara University of Commerce,7.95,F,319,"$62,742.90 "
573,Andris,626,271,4.1,85,Ho Chi Minh City University of Natural Sciences,7.44,M,337,"$54,689.93 "
574,Nancy,122,298,8.2,105,Agricultural University of Poznan,5.64,F,303,"$41,417.49 "
575,Elfreda,439,303,3.1,118,Shandong Agricultural University,6.45,F,299,"$28,547.12 "
576,Gabby,469,275,7.6,68,Le Moyne-Owen College,9.42,M,312,"$65,422.63 "
577,Marion,246,298,4,84,Meredith College,5.59,M,304,"$66,673.18 "
578,Allegra,620,279,7.1,115,Yamanashi Gakuin University,8.51,F,302,"$64,658.66 "
579,Lonny,475,287,3.4,98,Michigan School of Professional Psychology,6.58,M,292,"$62,345.14 "
580,Jayme,123,287,4.9,60,Coleman College,8.75,M,302,"$54,373.10 "
581,Alfie,146,264,5.9,110,Lakshmibai National Institute of Physical Education,5.21,M,311,"$25,204.55 "
582,Arda,135,269,7.6,118,Kalamazoo College,4.82,F,324,"$45,473.67 "
583,Clarance,690,266,7.8,106,Universidad Nacional de Quilmes,4.61,M,314,"$58,869.13 "
584,Frayda,248,339,3,109,Eötvös Lorand University,6.43,F,276,"$35,807.64 "
585,Nonie,98,313,6.8,103,Hochschule Albstadt-Sigmaringen,4,F,282,"$44,395.31 "
586,Conn,541,262,5.7,62,Brandman University,5.34,M,289,"$67,376.91 "
587,Kellen,591,269,5,98,Dongbei University of Finance And Economics,8.84,M,310,"$27,384.95 "
588,Bonni,647,273,8.7,98,Wuhan University of Technology,5.61,F,322,"$34,065.86 "
589,Colette,358,268,5.5,71,Universidad para la Cooperación Internacional,7.18,F,285,"$27,616.79 "
590,Fraser,224,260,4.8,90,Adrian College,5.17,M,283,"$27,404.86 "
591,Nerty,139,276,5.2,117,Petroleum University of Technology,8.98,F,304,"$41,788.40 "
592,Eric,136,281,4.1,95,Adams State College,7.59,M,298,"$65,206.94 "
593,Fern,139,261,4.5,82,Inner Mongolia Polytechnic University,7.59,F,277,"$53,026.09 "
594,Corri,69,292,7.2,115,Bicol University,5.28,F,290,"$28,693.53 "
595,Yuma,562,265,5.7,95,Hashemite University,4.69,M,298,"$26,542.56 "
596,Sarah,348,278,4.3,63,Universidad San Francisco Xavier de Chuquisaca,7.12,F,283,"$38,299.25 "
597,Silvia,477,315,8.4,119,Xi'an Highway University,5.25,F,294,"$25,127.68 "
598,Vanya,182,291,5.8,63,Ningbo University of Technology,4.71,F,303,"$59,391.09 "
